Stock,Symbol,Last Price (₹),Weight (%),Allocation (₹),Shares,Deployed (₹),Pred Return %,Volatility
HUL,HINDUNILVR.NS,2290.2,29.79,297910.0,130,297726.0,1.66,19.28
HDFC Bank,HDFCBANK.NS,990.9,21.98,219816.0,221,218989.0,0.86,11.49
Sun Pharma,SUNPHARMA.NS,1709.1,20.62,206236.0,120,205092.0,0.92,15.07
Reliance,RELIANCE.NS,1539.8,9.35,93543.0,60,92388.0,0.02,12.14
Maruti,MARUTI.NS,16647.0,7.52,75246.0,4,66588.0,-0.14,14.67
Infosys,INFY.NS,1621.6,5.72,57216.0,35,56756.0,-2.19,19.29
Tata Steel,TATASTEEL.NS,175.8,5.0,50032.0,284,49927.0,-0.66,22.06
