,HDFC Bank,HUL,Infosys,Maruti,Reliance,Sun Pharma,Tata Steel
HDFC Bank,1.0,0.1775683052230817,0.26051662908000417,0.2824363531531077,0.36575762228061875,0.18826534288816243,0.29917353922547724
HUL,0.1775683052230817,1.0,0.21647519459298842,0.24918122686903635,0.1859631205507901,0.1554761843720014,0.05604214370387967
Infosys,0.26051662908000417,0.21647519459298842,1.0,0.18271962240729892,0.27783140552587243,0.20629247129382325,0.24402591027952003
Maruti,0.2824363531531077,0.24918122686903635,0.18271962240729892,1.0,0.29918012354817064,0.18675330264100778,0.21809458054432712
Reliance,0.36575762228061875,0.1859631205507901,0.27783140552587243,0.29918012354817064,1.0,0.2358143644919081,0.39091717845325413
Sun Pharma,0.18826534288816243,0.1554761843720014,0.20629247129382325,0.18675330264100778,0.2358143644919081,1.0,0.2972211105264912
Tata Steel,0.29917353922547724,0.05604214370387967,0.24402591027952003,0.21809458054432712,0.39091717845325413,0.2972211105264912,1.0
